aglomerado,provincia_completa,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
2,buenos_aires,2,28,5,,4,2,9,1,3,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,8,5,,1,4,5,1,0,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,5,5,,7,4,5,2,0,1244.44,S,0.30687890706878906,1
2,buenos_aires,1,-1,5,,7,4,5,3,0,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,26,5,,1,3,9,1,0,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,18,5,4.0,3,1,9,1,3,1244.44,S,0.30687890706878906,1
2,buenos_aires,2,46,3,36.0,2,1,3,1,3,8425.0,S,2.0776050207760504,0
2,buenos_aires,1,77,2,,2,3,1,1,0,4500.0,S,1.1097000110970001,0
2,buenos_aires,2,72,2,,4,3,2,1,0,4500.0,S,1.1097000110970001,0
2,buenos_aires,1,47,5,30.0,5,1,1,1,3,11500.0,S,2.835900028359,0
2,buenos_aires,2,10,5,,1,3,3,1,0,11500.0,S,2.835900028359,0
2,buenos_aires,2,23,1,,5,3,1,1,0,12000.0,S,2.959200029592,0
2,buenos_aires,1,26,1,36.0,4,1,2,1,3,12000.0,S,2.959200029592,0
2,buenos_aires,2,40,5,36.0,4,1,1,1,3,8500.0,S,2.0961000209610003,0
2,buenos_aires,1,9,5,,1,4,3,1,0,8500.0,S,2.0961000209610003,0
2,buenos_aires,2,40,2,25.0,6,1,1,1,3,16166.67,S,3.9867008618670083,0
2,buenos_aires,1,33,2,40.0,6,1,2,1,3,16166.67,S,3.9867008618670083,0
2,buenos_aires,2,4,5,,7,4,3,2,0,16166.67,S,3.9867008618670083,0
2,buenos_aires,2,47,3,55.0,6,1,1,1,3,22500.0,S,5.548500055485,0
2,buenos_aires,1,52,3,60.0,5,1,1,1,3,37500.0,S,9.247500092475,0
2,buenos_aires,1,86,4,,2,3,1,1,0,6800.0,S,1.6768800167688,0
2,buenos_aires,2,79,2,,2,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,70,2,,2,3,2,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,64,1,36.0,2,1,1,1,3,3000.0,S,0.739800007398,1
2,buenos_aires,2,76,4,,4,3,1,1,0,7500.0,S,1.8495000184950001,0
2,buenos_aires,1,81,2,,3,3,1,1,0,7500.0,S,1.8495000184950001,0
2,buenos_aires,2,82,2,,3,3,2,1,0,7500.0,S,1.8495000184950001,0
2,buenos_aires,2,65,4,4.0,2,1,1,1,3,3400.0,S,0.8384400083844,1
2,buenos_aires,1,37,2,20.0,6,1,1,1,3,8750.0,S,2.1577500215775003,0
2,buenos_aires,2,40,2,20.0,6,1,2,1,3,8750.0,S,2.1577500215775003,0
2,buenos_aires,1,11,5,,1,3,3,1,0,8750.0,S,2.1577500215775003,0
2,buenos_aires,2,7,5,,1,4,3,1,0,8750.0,S,2.1577500215775003,0
2,buenos_aires,1,68,2,,4,3,1,1,0,1750.0,S,0.43155000431550006,1
2,buenos_aires,2,67,2,,4,3,2,1,0,1750.0,S,0.43155000431550006,1
2,buenos_aires,2,39,5,,4,3,3,1,0,1750.0,S,0.43155000431550006,1
2,buenos_aires,1,11,5,,1,3,5,2,0,1750.0,S,0.43155000431550006,1
2,buenos_aires,1,30,1,4.0,6,1,2,1,3,4250.0,S,1.0480500104805002,0
2,buenos_aires,2,26,1,30.0,6,1,1,1,3,19000.0,S,4.685400046854,0
2,buenos_aires,1,27,1,48.0,4,1,2,1,3,19000.0,S,4.685400046854,0
2,buenos_aires,2,73,5,,2,3,1,1,0,6750.0,S,1.6645500166455,0
2,buenos_aires,2,44,3,0.0,2,1,1,1,3,2640.0,S,0.6510240065102401,1
2,buenos_aires,1,17,5,16.0,3,1,3,1,3,2640.0,S,0.6510240065102401,1
2,buenos_aires,1,12,5,,3,3,3,1,0,2640.0,S,0.6510240065102401,1
2,buenos_aires,1,2,5,,7,4,3,2,0,2640.0,S,0.6510240065102401,1
2,buenos_aires,2,15,5,,3,3,3,1,0,2640.0,S,0.6510240065102401,1
2,buenos_aires,1,87,2,,2,3,1,1,0,8250.0,S,2.0344500203445,0
2,buenos_aires,2,78,2,,2,3,2,1,0,8250.0,S,2.0344500203445,0
2,buenos_aires,2,37,1,21.0,6,1,1,1,3,9333.33,S,2.301599201015992,0
2,buenos_aires,1,32,1,24.0,2,1,2,1,3,9333.33,S,2.301599201015992,0
2,buenos_aires,2,56,1,,3,3,2,1,0,3000.0,S,0.739800007398,1
2,buenos_aires,2,18,5,,3,3,3,1,0,3000.0,S,0.739800007398,1
2,buenos_aires,1,85,2,,4,3,1,1,0,26000.0,S,6.4116000641160005,0
2,buenos_aires,2,76,2,,5,3,2,1,0,26000.0,S,6.4116000641160005,0
2,buenos_aires,2,22,5,,6,2,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,66,4,,2,3,1,1,0,4800.0,S,1.1836800118368,0
2,buenos_aires,2,31,1,40.0,6,1,1,1,3,10000.0,S,2.46600002466,0
2,buenos_aires,2,64,3,36.0,4,1,1,1,3,10500.0,S,2.5893000258930003,0
2,buenos_aires,2,-1,5,,7,4,3,3,0,9333.33,S,2.301599201015992,0
2,buenos_aires,2,35,3,40.0,4,1,1,1,3,8250.0,S,2.0344500203445,0
2,buenos_aires,1,12,5,,3,3,3,1,0,8250.0,S,2.0344500203445,0
2,buenos_aires,2,28,2,15.0,5,1,1,1,2,8333.33,S,2.054999198549992,0
2,buenos_aires,1,35,2,55.0,4,1,2,1,1,8333.33,S,2.054999198549992,0
2,buenos_aires,2,6,5,,1,4,3,1,0,8333.33,S,2.054999198549992,0
2,buenos_aires,1,36,1,32.0,4,1,2,1,3,10000.0,S,2.46600002466,0
2,buenos_aires,2,1,5,,7,4,3,3,0,10000.0,S,2.46600002466,0
2,buenos_aires,1,31,3,15.0,4,1,1,1,2,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,5,5,,7,4,3,2,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,4,5,,7,4,3,2,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,29,1,20.0,6,1,1,1,3,1600.0,S,0.39456000394560004,1
2,buenos_aires,1,42,1,30.0,3,1,2,1,3,1600.0,S,0.39456000394560004,1
2,buenos_aires,1,10,5,,1,3,3,1,0,1600.0,S,0.39456000394560004,1
2,buenos_aires,1,15,5,,3,3,3,1,0,1600.0,S,0.39456000394560004,1
2,buenos_aires,2,-1,5,,7,4,3,3,0,1600.0,S,0.39456000394560004,1
2,buenos_aires,2,77,4,,2,3,1,1,0,4900.0,S,1.2083400120834,0
2,buenos_aires,2,67,4,,2,3,1,1,0,7266.67,S,1.7919608399196083,0
2,buenos_aires,2,64,4,,2,3,10,1,0,7266.67,S,1.7919608399196083,0
2,buenos_aires,1,66,5,36.0,4,1,10,1,2,7266.67,S,1.7919608399196083,0
2,buenos_aires,1,28,5,,5,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,39,5,20.0,6,1,1,1,3,12500.0,S,3.0825000308250003,0
2,buenos_aires,1,11,5,,1,3,3,1,0,12500.0,S,3.0825000308250003,0
2,buenos_aires,2,65,2,,4,3,1,1,0,9000.0,S,2.2194000221940002,0
2,buenos_aires,1,64,2,40.0,4,1,2,1,3,9000.0,S,2.2194000221940002,0
2,buenos_aires,1,24,5,,5,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,24,5,,5,3,10,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,24,5,,5,3,10,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,2,70,4,,4,3,1,1,0,13000.0,S,3.2058000320580002,0
2,buenos_aires,2,47,5,,4,3,1,1,0,2000.0,S,0.49320000493200006,1
2,buenos_aires,1,16,5,,3,3,3,1,0,2000.0,S,0.49320000493200006,1
2,buenos_aires,1,32,5,36.0,6,1,1,1,3,21000.0,S,5.178600051786001,0
2,buenos_aires,1,37,2,72.0,6,1,1,1,3,4375.0,S,1.0788750107887501,0
2,buenos_aires,2,38,2,30.0,4,1,2,1,3,4375.0,S,1.0788750107887501,0
2,buenos_aires,1,7,5,,1,4,3,1,0,4375.0,S,1.0788750107887501,0
2,buenos_aires,1,2,5,,7,4,3,2,0,4375.0,S,1.0788750107887501,0
2,buenos_aires,2,39,5,60.0,4,1,1,1,3,15000.0,S,3.6990000369900002,0
2,buenos_aires,1,53,2,40.0,6,1,1,1,3,18500.0,S,4.562100045621,0
2,buenos_aires,2,52,2,45.0,6,1,2,1,3,18500.0,S,4.562100045621,0
2,buenos_aires,1,18,5,,5,3,3,1,0,18500.0,S,4.562100045621,0
