provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,33,1.0,70.0,3,1,1,1.0,3.0,2450.0,S,0.6041700060417,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,34,1.0,12.0,3,1,2,1.0,2.0,2450.0,S,0.6041700060417,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,10,5.0,,1,3,3,1.0,,2450.0,S,0.6041700060417,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,17,5.0,,3,3,3,1.0,,2450.0,S,0.6041700060417,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,35,1.0,,4,2,1,1.0,2.0,2920.0,S,0.7200720072007201,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,32,1.0,36.0,4,1,2,1.0,3.0,2920.0,S,0.7200720072007201,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,15,5.0,,3,3,3,1.0,,2920.0,S,0.7200720072007201,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,6,5.0,,1,4,3,2.0,,2920.0,S,0.7200720072007201,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,19,5.0,,5,3,1,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,34,2.0,40.0,6,1,1,1.0,3.0,30000.0,S,7.39800007398,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,34,2.0,45.0,5,1,2,1.0,3.0,30000.0,S,7.39800007398,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,20,5.0,,5,3,1,1.0,,4000.0,S,0.986400009864,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,35,5.0,36.0,6,1,1,1.0,2.0,23000.0,S,5.671800056718,0
