ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7,intercepto
33.0,5.0,45.0,1.0,3,1.0,1.0,False,False,False,False,True,False,False,0
33.0,1.0,40.0,1.0,1,1.0,2.0,False,False,False,False,True,False,False,0
33.0,1.0,26.0,1.0,2,1.0,2.0,True,False,False,False,True,False,False,0
8.0,5.0,36.0,4.0,3,1.0,1.0,True,False,False,False,False,False,False,0
6.0,5.0,36.0,4.0,3,2.0,1.0,True,False,False,False,False,False,False,0
3.0,5.0,36.0,4.0,3,2.0,1.0,False,False,False,False,False,False,True,0
55.0,3.0,36.0,3.0,1,2.0,3.0,True,False,False,False,False,False,True,0
24.0,5.0,36.0,2.0,3,1.0,2.0,True,False,False,True,False,False,False,0
7.0,5.0,36.0,4.0,5,2.0,1.0,True,False,False,False,False,False,False,0
4.0,5.0,36.0,4.0,5,2.0,1.0,True,False,False,False,False,False,True,0
31.0,5.0,35.0,1.0,1,1.0,2.0,False,False,False,False,False,True,False,0
57.0,4.0,60.0,1.0,1,1.0,2.0,True,False,False,False,False,True,False,0
25.0,5.0,36.0,3.0,3,1.0,2.0,True,False,False,False,False,True,False,0
19.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,True,False,False,0
55.0,3.0,20.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
63.0,4.0,42.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
26.0,5.0,40.0,1.0,3,1.0,1.0,True,False,False,False,True,False,False,0
36.0,3.0,40.0,1.0,3,1.0,2.0,True,False,False,False,False,True,False,0
1.0,5.0,36.0,4.0,5,3.0,2.0,False,False,False,False,False,False,True,0
6.0,5.0,36.0,4.0,3,1.0,1.0,False,False,False,False,False,False,False,0
51.0,2.0,40.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
48.0,2.0,36.0,3.0,2,1.0,2.0,True,False,False,True,False,False,False,0
23.0,5.0,36.0,2.0,3,1.0,2.0,True,False,False,True,False,False,False,0
18.0,5.0,36.0,3.0,3,1.0,2.0,False,False,False,True,False,False,False,0
42.0,5.0,72.0,1.0,1,1.0,1.0,True,False,False,False,True,False,False,0
61.0,2.0,36.0,3.0,1,1.0,2.0,False,False,True,False,False,False,False,0
57.0,2.0,36.0,3.0,2,1.0,2.0,True,False,False,True,False,False,False,0
32.0,5.0,32.0,1.0,3,1.0,2.0,False,False,False,False,True,False,False,0
21.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,True,False,False,0
43.0,2.0,36.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
38.0,2.0,0.0,1.0,2,1.0,2.0,True,False,False,False,True,False,False,0
5.0,5.0,36.0,4.0,3,2.0,1.0,False,False,False,False,False,False,True,0
34.0,5.0,36.0,4.0,3,3.0,2.0,False,False,False,False,False,False,True,0
31.0,5.0,40.0,1.0,1,1.0,2.0,True,False,True,False,False,False,False,0
36.0,1.0,54.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
7.0,5.0,36.0,4.0,3,1.0,1.0,True,False,False,False,False,False,False,0
45.0,1.0,30.0,1.0,2,1.0,2.0,True,False,False,True,False,False,False,0
