ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
5.0,5.0,36.0,4.0,3,2.0,1.0,0,False,False,False,False,False,False,True
89.0,2.0,36.0,3.0,1,1.0,2.0,0,False,False,True,False,False,False,False
74.0,2.0,36.0,3.0,2,1.0,2.0,0,True,True,False,False,False,False,False
86.0,4.0,36.0,3.0,1,1.0,2.0,0,True,False,False,True,False,False,False
44.0,1.0,30.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
44.0,1.0,30.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
5.0,5.0,36.0,4.0,3,1.0,1.0,0,True,False,False,False,False,False,False
60.0,3.0,40.0,1.0,1,1.0,2.0,0,True,True,False,False,False,False,False
25.0,5.0,15.0,1.0,1,1.0,1.0,1,True,False,True,False,False,False,False
20.0,5.0,35.0,1.0,9,1.0,1.0,1,False,False,True,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
31.0,5.0,40.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
43.0,5.0,30.0,1.0,1,1.0,2.0,0,False,False,True,False,False,False,False
61.0,1.0,36.0,3.0,1,1.0,2.0,1,True,False,False,False,False,False,False
62.0,1.0,0.0,1.0,2,1.0,2.0,1,False,False,False,False,False,False,False
41.0,3.0,36.0,2.0,1,1.0,2.0,1,True,True,False,False,False,False,False
15.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,True,False,False,False,False
8.0,5.0,36.0,4.0,3,1.0,1.0,1,False,False,False,False,False,False,False
3.0,5.0,36.0,4.0,3,2.0,3.0,1,True,False,False,False,False,False,True
60.0,5.0,36.0,3.0,1,2.0,2.0,1,False,False,False,False,False,False,False
34.0,2.0,44.0,1.0,4,1.0,2.0,1,False,False,False,True,False,False,False
81.0,4.0,36.0,3.0,1,1.0,2.0,1,False,False,False,False,False,False,False
32.0,2.0,16.0,1.0,3,1.0,2.0,1,True,False,False,True,False,False,False
34.0,1.0,36.0,3.0,1,1.0,2.0,0,True,False,False,True,False,False,False
37.0,1.0,24.0,1.0,2,1.0,2.0,0,False,False,False,True,False,False,False
13.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,True,False,False,False,False
6.0,5.0,36.0,4.0,3,1.0,1.0,0,True,False,False,False,False,False,False
34.0,4.0,36.0,2.0,1,1.0,2.0,1,True,False,True,False,False,False,False
15.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
6.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,False
55.0,1.0,37.0,1.0,1,1.0,2.0,0,False,False,False,True,False,False,False
52.0,1.0,4.0,1.0,2,1.0,2.0,0,True,False,False,True,False,False,False
26.0,5.0,22.0,1.0,3,1.0,2.0,0,True,False,False,False,False,True,False
23.0,5.0,40.0,1.0,3,1.0,2.0,0,True,False,False,True,False,False,False
62.0,4.0,10.0,1.0,1,1.0,2.0,1,True,False,False,False,False,True,False
67.0,5.0,36.0,3.0,1,1.0,2.0,0,True,False,False,True,False,False,False
33.0,5.0,36.0,1.0,3,1.0,2.0,0,True,False,False,True,False,False,False
17.0,5.0,36.0,3.0,5,1.0,1.0,0,True,False,True,False,False,False,False
50.0,3.0,18.0,1.0,1,1.0,2.0,1,True,False,False,False,False,True,False
14.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,True,False,False,False,False
27.0,5.0,36.0,1.0,1,1.0,2.0,1,True,False,False,True,False,False,False
2.0,5.0,36.0,4.0,3,2.0,3.0,1,False,False,False,False,False,False,True
6.0,5.0,36.0,4.0,3,2.0,1.0,1,False,False,False,False,False,False,True
29.0,1.0,60.0,1.0,1,1.0,2.0,0,False,False,True,False,False,False,False
