provincia_completa,anio,trimestre,empleo_prom_trimestre,salario_prom_trimestre,provincia_tratada
cordoba,2016,4,3934.022277227723,20076.488807920792,1
cordoba,2017,1,3958.5862068965516,19437.642837192117,1
cordoba,2017,2,3978.2512437810947,22823.99400671642,1
cordoba,2017,3,3999.676616915423,21180.824028606967,1
cordoba,2017,4,4072.0,25867.62413930348,1
cordoba,2018,1,3992.898795180723,23988.359073493975,1
cordoba,2018,2,3953.512077294686,28810.355221497583,1
cordoba,2018,3,3918.367149758454,27065.165226328503,1
cordoba,2018,4,3910.371359223301,33679.18811699029,1
cordoba,2019,1,3975.659259259259,32538.877249382716,1
cordoba,2019,2,3904.9356435643563,39854.5112549505,1
cordoba,2019,3,3865.3861386138615,37958.7358440594,1
cordoba,2019,4,3836.34236453202,48743.70239655172,1
cordoba,2020,1,3823.7867647058824,48398.92611495098,1
cordoba,2020,2,3733.1745635910224,56048.63370124688,1
cordoba,2020,3,3743.027568922306,51459.363533834585,1
cordoba,2020,4,3762.1122194513714,65174.97732917706,1
cordoba,2021,1,3814.330900243309,64507.91165206813,1
cordoba,2021,2,3865.5700245700245,81687.44020638822,1
cordoba,2021,3,3963.479012345679,77429.33900987654,1
cordoba,2021,4,4128.097256857855,100127.09461346632,1
corrientes,2015,1,721.4440789473684,7775.399609868421,0
corrientes,2015,2,746.6953642384105,9666.834182119204,0
corrientes,2015,3,759.1803278688525,9018.491369508196,0
corrientes,2015,4,754.8246753246754,11206.371733116883,0
corrientes,2016,1,735.2317460317461,10270.609313333332,0
corrientes,2016,2,738.8417721518987,13150.578695886075,0
corrientes,2016,3,740.6793650793651,12135.756322222222,0
corrientes,2016,4,739.0378548895899,15282.642188958991,1
corrientes,2017,1,711.5092592592592,14168.844241049383,1
corrientes,2017,2,726.4326018808778,16808.23719968652,1
corrientes,2017,3,743.0825396825397,15594.73509206349,1
corrientes,2017,4,749.2675159235669,19612.48063535032,1
corrientes,2018,1,759.9679487179487,17783.34591153846,1
corrientes,2018,2,759.5759493670886,21797.782759810125,1
corrientes,2018,3,756.0445859872611,20237.52022579618,1
corrientes,2018,4,759.7788461538462,26368.499785256412,1
corrientes,2019,1,726.2413793103449,24842.237205015674,1
corrientes,2019,2,726.859375,31066.870046874996,1
corrientes,2019,3,722.804347826087,29527.128944720494,1
corrientes,2019,4,717.7037037037037,37769.5106867284,1
corrientes,2020,1,700.0581039755351,38348.51757492354,1
corrientes,2020,2,687.9755351681957,45233.62625993884,1
corrientes,2020,3,691.7553516819572,40997.39412538226,1
corrientes,2020,4,703.9876160990713,53487.29928482972,1
corrientes,2021,1,706.9628482972137,52903.77305572756,1
corrientes,2021,2,723.7115987460814,66062.94936050157,1
corrientes,2021,3,734.8571428571429,63364.10342222223,1
corrientes,2021,4,739.1582278481013,84062.57370253165,1
entre_rios,2015,1,1504.279569892473,10173.068005734767,0
entre_rios,2015,2,1519.5017921146953,12362.246881003584,0
entre_rios,2015,3,1561.595667870036,11383.6873299639,0
entre_rios,2015,4,1584.6236559139784,14000.943641935484,0
entre_rios,2016,1,1495.636690647482,13804.642541007193,0
entre_rios,2016,2,1502.0036231884058,16647.830221014494,0
entre_rios,2016,3,1527.3369565217392,15463.259746014492,0
entre_rios,2016,4,1609.12,18870.936169090906,0
entre_rios,2017,1,1483.7446808510638,18715.633110638297,0
entre_rios,2017,2,1490.485815602837,21785.878660283688,0
entre_rios,2017,3,1513.8014184397164,20048.554864539008,0
entre_rios,2017,4,1558.3617021276596,24318.794010992908,0
entre_rios,2018,1,1534.2536231884058,23417.226392028984,0
entre_rios,2018,2,1527.2282608695652,27130.67490942029,0
entre_rios,2018,3,1523.659420289855,25765.662076086955,0
entre_rios,2018,4,1576.2826086956522,33760.93252753623,0
entre_rios,2019,1,1495.768115942029,33040.93760108695,0
entre_rios,2019,2,1470.1505376344087,39168.85144121864,0
entre_rios,2019,3,1480.0860215053763,38381.42093512545,0
entre_rios,2019,4,1529.8494623655913,49541.24022222222,0
entre_rios,2020,1,1447.5770609318997,50269.25672043011,0
entre_rios,2020,2,1435.6474820143885,56340.578884892086,0
entre_rios,2020,3,1443.2078853046594,51720.10133333333,0
entre_rios,2020,4,1467.9390681003583,66847.21068458782,0
entre_rios,2021,1,1441.279569892473,68447.2127562724,0
entre_rios,2021,2,1454.853046594982,83568.3540860215,0
entre_rios,2021,3,1484.268817204301,81917.35518996416,0
entre_rios,2021,4,1521.3176895306858,104891.39449819495,0
formosa,2015,1,860.2857142857143,8413.531863095237,0
formosa,2015,2,883.5930232558139,10352.465824418605,0
formosa,2015,3,875.6413043478261,9728.820519565217,0
formosa,2015,4,829.5,12619.527541666668,0
formosa,2016,1,772.3333333333334,11568.054641666668,0
formosa,2016,2,794.4574468085107,14299.12824893617,0
formosa,2016,3,802.5483870967741,13197.513589247312,0
formosa,2016,4,796.4086021505376,16508.254175268816,0
formosa,2017,1,767.9032258064516,15090.738687096775,0
formosa,2017,2,835.0,18397.544804597703,0
formosa,2017,3,867.0229885057471,17063.293059770112,0
formosa,2017,4,854.5862068965517,21998.289528735633,1
formosa,2018,1,824.1494252873563,18566.813482758622,1
formosa,2018,2,843.448275862069,22970.56956321839,1
formosa,2018,3,827.3218390804598,20527.23724137931,1
formosa,2018,4,824.3690476190476,26272.121761904764,1
formosa,2019,1,800.2619047619048,25175.58417857143,1
formosa,2019,2,814.3928571428571,32726.23044047619,1
formosa,2019,3,819.1309523809524,31029.056607142855,1
